"artist_num","danceability","energy","loudness","speechiness","acousticness","liveness","valence","tempo","key","mode","n_weeks","art_popularity","best_rank","max_streams"
1,0.596,0.838,-6.52,0.0704,0.0189,0.108,0.472,94.982,5,0,17,0.85,51,7538898
1,0.774,0.764,-5.445,0.0518,0.156,0.0383,0.912,118.997,4,0,21,0.71,70,5330563
1,0.639,0.785,-6.167,0.174,0.0174,0.0512,0.686,191.95,10,0,4,0.84,71,5284495
2,0.564,0.849,-3.516,0.0517,0.00868,0.12,0.427,102.028,0,0,9,0.79,72,5270881
2,0.632,0.575,-6.478,0.029,0.0225,0.104,0.188,90.037,5,1,8,0.66,73,5266699
1,0.405,0.846,-3.57,0.195,0.0948,0.0666,0.602,82.232,6,1,12,0.49,60,6347316
6,0.502,0.786,-4.378,0.317,0.255,0.65,0.739,169.021,9,0,22,0.811666666666667,75,5195824
3,0.746,0.877,-3.782,0.0666,0.0375,0.233,0.751,107.985,9,0,14,0.646666666666667,76,5194169
2,0.626,0.717,-5.751,0.0375,0.017,0.261,0.56,105.039,8,0,7,0.665,70,5474467
1,0.607,0.476,-11.076,0.249,0.0773,0.113,0.347,122.976,10,0,14,0.95,78,5104189
1,0.931,0.604,-1.41,0.0573,0.456,0.0488,0.864,129.926,0,0,3,0.67,79,5074994
2,0.736,0.964,-2.147,0.129,0.198,0.336,0.953,179.935,0,1,21,0.805,80,5034668
1,0.774,0.739,-4.022,0.0952,0.0316,0.119,0.823,126.002,0,1,10,0.78,81,5010693
1,0.636,0.727,-5.852,0.106,0.0161,0.151,0.358,107.988,9,1,14,0.89,82,5007872
3,0.42,0.636,-7.216,0.22,0.494,0.122,0.784,156.104,10,1,5,0.743333333333333,76,5194019
1,0.776,0.669,-4.933,0.0638,0.142,0.219,0.661,91.012,11,1,28,0.82,84,4882394
1,0.783,0.467,-9.474,0.0503,0.729,0.109,0.236,90.838,6,1,17,0.63,53,7255048
3,0.835,0.413,-9.81,0.396,0.373,0.101,0.111,149.004,1,1,15,0.85,79,5144549
3,0.886,0.427,-10.028,0.145,0.0312,0.0906,0.23,108.034,6,1,11,0.603333333333333,75,5133129
1,0.671,0.314,-8.091,0.244,0.11,0.0825,0.296,110.898,5,0,11,0.89,88,4780393
1,0.742,0.479,-5.83,0.0551,0.29,0.391,0.346,119.951,10,1,21,0.72,89,4707790
2,0.807,0.887,-3.892,0.275,0.00381,0.391,0.78,160.517,1,1,5,0.42,90,4580028
1,0.617,0.567,-4.188,0.0828,0.0584,0.0933,0.505,90.246,0,1,21,0.68,30,11309485
2,0.683,0.708,-6.244,0.0305,0.0398,0.686,0.355,92.991,5,0,11,0.555,92,4535409
1,0.69,0.524,-8.39,0.103,0.0415,0.17,0.562,164.023,6,0,11,0.85,93,4507243
2,0.459,0.587,-6.983,0.0785,0.453,0.307,0.581,113.901,9,1,9,0.675,94,4476496
1,0.578,0.574,-6.209,0.0454,0.196,0.083,0.301,174.152,2,1,21,0.88,82,4948057
2,0.806,0.558,-6.538,0.172,0.00496,0.16,0.26,85.011,8,1,12,0.91,91,4601050
2,0.793,0.729,-4.77,0.0394,0.08,0.317,0.488,121.972,0,0,20,0.645,97,4429308
